trial_id,framework,test_acc1,pt_gaussian_accuracy1,pt_deepfool_accuracy1,test_acc2,pt_gaussian_accuracy2,pt_deepfool_accuracy2,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.batch_size,config.adam_epsilon,config.epochs
3d5c2e78,pt,0.009808612352406437,0.009856849689385595,0.006621886885044756,0.010712991002947092,0.01071299115557487,0.0070239569043396765,0.0007208633786749494,0.01076507568359375,True,,,2,3cf0dbfff1d74bac98bef4b58be2469e,2021-01-12_18-50-52,1610477452,788.4777038097382,123507,thetagpu15,140.221.68.25,788.4777038097382,0,2,"1_adam_epsilon=0.90453,batch_size=912,dropout=0.8124,epochs=45,learning_rate=0.037053",0.03705279493378479,0.8123994835768225,912,0.9045323376947552,45
3d74e526,pt,0.010799184771409879,0.01079918461318966,0.00826064745344969,0.010799184771409879,0.01079918461318966,0.008306914746555214,1.5422431035173878e-05,0.009719133377075195,True,,,2,8ed9ece11a2742c481e8c5d2e4443a55,2021-01-12_18-47-20,1610477240,576.0911011695862,123608,thetagpu15,140.221.68.25,576.0911011695862,0,2,"2_adam_epsilon=0.54541,batch_size=417,dropout=0.50486,epochs=37,learning_rate=0.024024",0.02402386430340808,0.5048632161812657,417,0.545410188658469,37
3d76baae,pt,0.015999999828636646,0.015999999999999986,0.011223076923076919,0.016099999891594052,0.01609999999999999,0.011238461538461537,7.17948927806758e-05,0.011266231536865234,True,,,2,0e8f600d076546698a1d443e03495b6d,2021-01-12_18-46-17,1610477177,513.3919191360474,123588,thetagpu15,140.221.68.25,513.3919191360474,0,2,"3_adam_epsilon=0.89755,batch_size=625,dropout=0.60749,epochs=29,learning_rate=0.050761",0.05076055047241379,0.6074871594609699,625,0.8975492282353689,29
3d7855da,pt,0.020274694670330395,0.0202603351473988,0.015357056464306507,0.020274694670330395,0.020267514826036382,0.01534269710703134,2.393226212527716e-06,0.011172056198120117,True,,,2,dafa2f61d5ff406990f4d38c0171353f,2021-01-12_19-00-19,1610478019,1355.7953519821167,123509,thetagpu15,140.221.68.25,1355.7953519821167,0,2,"4_adam_epsilon=0.46272,batch_size=974,dropout=0.54464,epochs=59,learning_rate=0.040511",0.040510747952125635,0.5446358661603083,974,0.4627192431307109,59
3d79ee7c,pt,0.010206229084481796,0.01020622895622895,0.01020622895622895,0.010206229084481796,0.01020622895622895,0.01020622895622895,0.0,0.008855104446411133,True,,,2,b3f7741e0d4b4fa2a938dadd8f6a021e,2021-01-12_18-59-00,1610477940,1275.8609418869019,123525,thetagpu15,140.221.68.25,1275.8609418869019,0,2,"5_adam_epsilon=0.7993,batch_size=704,dropout=0.78801,epochs=50,learning_rate=0.029601",0.029600509869556632,0.78801229798855,704,0.7992997083313532,50
3d7ea5ca,pt,0.011717473738826811,0.011717473750541727,0.009824394086488405,0.011717473738826811,0.011717473750541727,0.009824394086488405,0.0,0.009043216705322266,True,,,2,85b05f340a5f4180b5aeee8cb9254707,2021-01-12_18-51-22,1610477482,818.6826386451721,123491,thetagpu15,140.221.68.25,818.6826386451721,0,2,"6_adam_epsilon=0.44119,batch_size=851,dropout=0.63977,epochs=37,learning_rate=0.036376",0.03637624336707051,0.6397724415650685,851,0.44119226008044765,37
3d804a38,pt,0.010322733782231808,0.010322733744660672,0.00778403490197509,0.010322733782231808,0.010322733744660672,0.007552967519744924,7.702246074338913e-05,0.012554407119750977,True,,,2,d33807292d7447d79abed8872fdb53ee,2021-01-12_18-44-54,1610477094,430.1204068660736,123609,thetagpu15,140.221.68.25,430.1204068660736,0,2,"7_adam_epsilon=0.45951,batch_size=516,dropout=0.75202,epochs=28,learning_rate=0.011646",0.011645780293345355,0.7520164746350391,516,0.45951136378329405,28
3d81e5e6,pt,0.010296781602151254,0.010296781756180755,0.009307987409010432,0.010296781602151254,0.010296781756180755,0.009222713146945886,2.8424754021516216e-05,0.00907278060913086,True,,,2,5c855bfdcdec48b5a070e37ba235b211,2021-01-12_18-51-24,1610477484,820.1647033691406,123578,thetagpu15,140.221.68.25,820.1647033691406,0,2,"8_adam_epsilon=0.93912,batch_size=621,dropout=0.46256,epochs=35,learning_rate=0.0093547",0.00935468826351228,0.4625557808915181,621,0.9391240478146375,35
3d8384e6,pt,0.011724856965567755,0.011656910318659954,0.008043644411952678,0.011921147107268158,0.011921147014342326,0.008171987949855538,0.00019629012509521197,0.010945796966552734,True,,,2,6ccf3eb02de344dc9249b46815167acb,2021-01-12_18-58-59,1610477939,840.9594485759735,123583,thetagpu15,140.221.68.25,840.9594485759735,0,2,"9_adam_epsilon=0.98113,batch_size=443,dropout=0.84507,epochs=47,learning_rate=0.038316",0.03831647228611167,0.8450710780353663,443,0.9811306675304114,47
42c5acbc,pt,0.009979720460250974,0.009979720354360113,0.006916614303639888,0.009979720460250974,0.009979720354360113,0.006916614303639888,0.0,0.010229110717773438,True,,,2,262ec04700854622bcb92beece96515d,2021-01-12_18-55-00,1610477700,519.0848112106323,123459,thetagpu15,140.221.68.25,519.0848112106323,0,2,"10_adam_epsilon=0.75489,batch_size=846,dropout=0.53896,epochs=28,learning_rate=0.010682",0.010681858002817917,0.5389605939203579,846,0.7548941703982257,28
